UK_Omeka;dcterms:creator;dcterms:abstract
460;Rapin, Alexandre;Noroy le Bourg, 1839-Paris, 1889
461;Ravaut, René-Henri;?, ?-?, ?
462;Régamey, Guillaume;Paris, 1837-Paris, 1875
463;Regnault, Henri;Paris, 1843-Buzenval, 1871
464;Reignier, Jean;Lyon, 1815-Lyon, 1886
465;Renard, Émile;Sèvres, 1850-Paris, 1930
466;Renouf, Émile;Paris, 1845-Le Havre, 1894
467;Reynaud, François;Marseille, 1825-Paris, 1909
468;Ribot, Théodule;Breteuil, 1823-Colombes, 1891
469;Ricard, Gustave;Marseille, 1823-Paris, 1873
470;Richomme, Jules;Paris, 1818-Paris, 1902
471;Richter, Gustav;Berlin, 1823-Berlin, 1884
472;Riesener, Léon;Paris, 1808-Paris, 1878
