Certainty,Exposant,Match,Titre
100,"Klagmann, Henri","Klagmann, Henri",3
100,"Knyff, Alfred de","Knyff, Alfred de",30
100,"Kreyder, Alexis","Kreyder, Alexis",24
100,"La Boulaye, Paul de","La Boulaye, Paul de",9
100,"Lacroix, Gaspard","Lacroix, Gaspard",31
100,"Laemlein, Alexandre","Laemlein, Alexandre",30
100,"Lafond, Alexandre","Lafond, Alexandre",38
100,"Lalanne, Maxime","Lalanne, Maxime",11
100,"Lambert, Louis-Eugène","Lambert, Louis-Eugène",27
100,"Lamothe, Louis","Lamothe, Louis",27
100,"Landelle, Charles","Landelle, Charles",102
100,"Lanoüe, Félix-Hippolyte","Lanoüe, Félix-Hippolyte",3
100,"Lansyer, Emmanuel","Lansyer, Emmanuel",31
100,"Lapostolet, Charles","Lapostolet, Charles",34
100,"Larcher, Jules","Larcher, Jules",5
100,"Laugée, Désiré-François","Laugée, Désiré-François",52
100,"Laurens, Jean-Paul","Laurens, Jean-Paul",29
100,"Laurens, Jules-Joseph-Augustin","Laurens, Jules-Joseph-Augustin",42
100,"Lavieille, Eugène","Lavieille, Eugène",9
100,"Layraud, Joseph-Fortuné","Layraud, Joseph-Fortuné",6
100,"Le Blant, Julien","Le Blant, Julien",7
100,"Le Gentile, Victor","Le Gentile, Victor",23
100,"Lebel, Edmond","Lebel, Edmond",33
100,"Lecadre, Alphonse-Eugène-Félix","Lecadre, Alphonse-Eugène-Félix",4
100,"Lechevallier-Chevignard, Edmond","Lechevallier-Chevignard, Edmond",12
100,"Leclaire, Victor","Leclaire, Victor",32
100,"Lecointe, Charles-Joseph","Lecointe, Charles-Joseph",21
100,"Lefebvre, Jules","Lefebvre, Jules",8
100,"Legras, Auguste","Legras, Auguste",35
100,"Legros, Alphonse","Legros, Alphonse",17
100,"Lehmann, Henri","Lehmann, Henri",44
100,"Lehoux, Pierre-Adrien-Pascal","Lehoux, Pierre-Adrien-Pascal",11
100,"Leibl, Wilhelm","Leibl, Wilhelm",4
100,"Leighton, Frédéric","Leighton, Frédéric",1
100,"Leleux, Adolphe","Leleux, Adolphe",75
100,"Leleux, Armand","Leleux, Armand",79
100,"Leloir, Louis","Leloir, Louis",3
100,"Leloir, Maurice","Leloir, Maurice",2
100,"Lematte, Fernand","Lematte, Fernand",1
100,"Lenepveu, Jules-Eugène","Lenepveu, Jules-Eugène",24
100,"Lepec, Charles","Lepec, Charles",7
100,"Lepic, Ludovic-Napoléon","Lepic, Ludovic-Napoléon",20
100,"Lepoittevin, Eugène","Lepoittevin, Eugène",20
100,"Leroux, Charles","Leroux, Charles",14
100,"Leroux, Eugène","Leroux, Eugène",1
100,"Leroux, Hector","Leroux, Hector",16
100,"Lhermitte, Léon","Lhermitte, Léon",6
100,"Lix, Frédéric-Théodore","Lix, Frédéric-Théodore",18
100,"Lobin, Julien-Léopold","Lobin, Julien-Léopold",1
100,"Lobrichon, Timoléon","Lobrichon, Timoléon",35
100,"Loir, Luigi","Loir, Luigi",15
100,"Lottier, Louis","Lottier, Louis",34
100,"Lévy, Henri-Léopold","Lévy, Henri-Léopold",7
100,"Machard, Jules","Machard, Jules",5
100,"Magaud, Dominique-Antoine","Magaud, Dominique-Antoine",37
100,"Maignan, Albert","Maignan, Albert",17
100,"Maillart, Diogène-Ulysse-Napoléon","Maillart, Diogène-Ulysse-Napoléon",14
100,"Maillot, Théodore","Maillot, Théodore",1
100,"Maison, Pierre-Eugène","Maison, Pierre-Eugène",17
100,"Malathier, André","Malathier, André",7
100,"Marais, Adolphe","Marais, Adolphe",2
100,"Marchal, Charles","Marchal, Charles",7
100,"Marquis, Pierre-Charles","Marquis, Pierre-Charles",22
100,"Marzocchi de Bellucci, Tito","Marzocchi de Bellucci, Tito",10
100,"Maréchal, Charles-Raphaël","Maréchal, Charles-Raphaël",5
100,"Masquelier, Claude-Louis","Masquelier, Claude-Louis",7
100,"Mathey, Paul","Mathey, Paul",14
100,"Matout, Louis","Matout, Louis",31
100,"Mazerolle, Joseph","Mazerolle, Joseph",3
100,"Meissonier, Ernest","Meissonier, Ernest",5
100,"Melin, Joseph","Melin, Joseph",9
100,"Mengin, Auguste-Charles","Mengin, Auguste-Charles",2
100,"Merino, Ignacio","Merino, Ignacio",19
100,"Merle, Hugues","Merle, Hugues",44
100,"Merson, Luc-Olivier","Merson, Luc-Olivier",10
100,"Mesdag, Hendrick-Willem","Mesdag, Hendrick-Willem",2
100,"Meyer, Alfred","Meyer, Alfred",2
100,"Meyerheim, Paul","Meyerheim, Paul",6
100,"Meynier, Jules-Joseph","Meynier, Jules-Joseph",41
100,"Michel, Charles-Henri","Michel, Charles-Henri",28
100,"Millet, Jean-François","Millet, Jean-François",25
100,"Mols, Robert","Mols, Robert",15
100,"Monchablon, Alphonse","Monchablon, Alphonse",2
100,"Monginot, Charles","Monginot, Charles",51
100,"Montessuy, François","Montessuy, François",4
100,"Montfort, Antoine-Alphonse","Montfort, Antoine-Alphonse",8
100,"Moreau de Tours, Georges","Moreau de Tours, Georges",11
100,"Moreau, Adrien","Moreau, Adrien",18
